SEDOL,HOLDINGS,TICKER,weight,MARKET VALUE,SHARES
2603225,Mobile TeleSystems PJSC,MBT,0.01%,$0.94 ,"93,946"
BN10NX3,Ozon Holdings plc,OZON,0.01%,$0.37 ,"37,493"
4767981,Sberbank of Russia PJSC,SBER,0.01%,$0.20 ,"1,473,153"
B59L4L7,Gazprom PJSC,GAZP,0.01%,$0.13 ,"926,846"
B5BSZB3,Yandex NV,YNDX,0.01%,$0.12 ,"11,746"
B9GFHQ6,Moscow Exchange MICEX-RTS PJSC,MOEX,0.01%,$0.07 ,"536,630"
B0DK750,Novatek PJSC,NVTK,0.01%,$0.06 ,"6,724"
B2QKYZ0,Magnit PJSC,MGNT,0.01%,---,2
B5B1TX2,MMC Norilsk Nickel PJSC,GMKN,0.01%,---,"1,247"
B59GLW2,Magnit PJSC,MGNT,0.01%,---,"12,527"
---,,MKTLIQ,5.62%,"$42,067,419.02 ",
B06HMH5,,Vanguard FTSE Emerging Markets ETF,0.94%,"$7,004,277.22 ",
---,,SLBBH1142,0.39%,"$2,943,190.95 ",
,,,95.08%,,
